IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
166.0.253.231,19000,true,SIN,亚太,新加坡,253 ms,0 kB/s
38.211.230.108,33406,true,SIN,亚太,新加坡,251 ms,0 kB/s
142.111.146.171,65443,true,KUL,亚太,马来西亚吉隆坡,247 ms,0 kB/s
166.0.253.190,20834,true,SIN,亚太,新加坡,257 ms,0 kB/s
50.114.5.119,26555,true,SIN,亚太,新加坡,243 ms,0 kB/s
166.88.141.134,54168,true,HKG,亚太,香港,188 ms,0 kB/s
50.114.59.186,42283,true,TPE,亚太,台北,188 ms,0 kB/s
50.114.5.39,587,true,SIN,亚太,新加坡,253 ms,0 kB/s
23.27.199.121,32002,true,SIN,亚太,新加坡,245 ms,0 kB/s
23.27.28.175,587,true,SIN,亚太,新加坡,241 ms,0 kB/s
108.165.177.35,20628,true,SIN,亚太,新加坡,244 ms,0 kB/s
198.20.153.70,38152,true,KUL,亚太,马来西亚吉隆坡,238 ms,0 kB/s
142.111.146.171,64380,true,KUL,亚太,马来西亚吉隆坡,249 ms,0 kB/s
23.27.48.238,34682,true,HKG,亚太,香港,180 ms,0 kB/s
166.88.141.134,20156,true,TPE,亚太,台北,188 ms,0 kB/s
23.27.48.33,58526,true,TPE,亚太,台北,188 ms,0 kB/s
108.165.100.78,443,true,HKG,亚太,香港,188 ms,0 kB/s
136.0.10.209,26557,true,EWR,北美洲,美国纽瓦克,64 ms,0 kB/s
23.27.48.33,41979,true,TPE,亚太,台北,188 ms,0 kB/s
166.88.61.87,8443,true,HKG,亚太,香港,188 ms,0 kB/s
50.114.59.54,16257,true,HKG,亚太,香港,187 ms,0 kB/s
23.27.141.124,21773,true,EWR,北美洲,美国纽瓦克,62 ms,0 kB/s
23.27.141.78,27015,true,EWR,北美洲,美国纽瓦克,66 ms,0 kB/s
166.88.141.134,30397,true,TPE,亚太,台北,180 ms,0 kB/s
136.0.11.82,35585,true,KIX,亚太,大阪,116 ms,0 kB/s
216.173.65.96,61769,true,LAX,北美洲,美国洛杉矶,1 ms,0 kB/s
108.165.64.141,8443,true,SYD,大洋洲,澳大利亚悉尼,159 ms,0 kB/s
205.186.64.126,27432,true,KUL,亚太,马来西亚吉隆坡,241 ms,0 kB/s
142.111.135.109,48182,true,LAX,北美洲,美国洛杉矶,1 ms,0 kB/s
166.88.134.137,25648,true,LHR,欧洲,英国伦敦,134 ms,0 kB/s
